Ticket; Resolution Date; Percentage of tickets without fixDate
STDCXX-45;2005-09-30
STDCXX-44;2005-09-30
STDCXX-42;2005-09-27
STDCXX-41;2005-09-29
STDCXX-40;2007-02-11
STDCXX-39;2005-09-21
STDCXX-38;2005-09-20
STDCXX-26;2005-09-19
STDCXX-25;2005-09-19
STDCXX-22;2005-09-29
STDCXX-21;2005-09-15
STDCXX-20;2007-09-18
STDCXX-19;2005-09-15
STDCXX-18;2005-09-13
STDCXX-16;2007-03-14
STDCXX-15;2005-08-28
STDCXX-12;2006-01-17
STDCXX-8;2005-07-30
STDCXX-7;2006-06-21
STDCXX-5;2005-11-25
STDCXX-4;2005-09-15
STDCXX-3;2006-10-07
STDCXX-2;2008-02-19
